Agents,Objects,Phi,Sample,UMinEF1_Solution,GRB-UMinEF1-Time,UMinPO1_Solution,GRB-UMinPO1-Time,DP-UMinPO1-Time,DP-UMinEF1-Time
2,2,0.5,0,1,0.009533882141113281,1,0.0029370784759521484,0.0010080337524414062,0.00014281272888183594
2,2,0.5,1,1,0.0018432140350341797,1,0.0027451515197753906,0.0007491111755371094,0.00014209747314453125
2,2,0.5,2,1,0.0015952587127685547,1,0.0018122196197509766,0.0006628036499023438,0.00012803077697753906
2,2,0.5,3,1,0.001374959945678711,1,0.0018661022186279297,0.0006608963012695312,0.00013303756713867188
2,2,0.5,4,1,0.0018241405487060547,1,0.0019462108612060547,0.0006380081176757812,0.0001220703125
2,2,0.5,5,1,0.0013492107391357422,1,0.0018279552459716797,0.0006358623504638672,0.00012183189392089844
2,2,0.5,6,1,0.0013408660888671875,1,0.0018873214721679688,0.0006449222564697266,0.00012493133544921875
2,2,0.5,7,1,0.0014400482177734375,1,0.002071857452392578,0.0006701946258544922,0.00013303756713867188
2,2,0.5,8,1,0.001316070556640625,1,0.0016717910766601562,0.0006880760192871094,0.00012493133544921875
2,2,0.5,9,1,0.0012209415435791016,1,0.0016021728515625,0.0005600452423095703,0.00011610984802246094
2,2,0.5,10,1,0.001238107681274414,1,0.0016109943389892578,0.0005671977996826172,0.00011587142944335938
2,2,0.5,11,1,0.0013589859008789062,1,0.0017490386962890625,0.0005807876586914062,0.00011110305786132812
2,2,0.5,12,1,0.001293182373046875,1,0.0018908977508544922,0.0006208419799804688,0.0001380443572998047
2,2,0.5,13,1,0.0013120174407958984,1,0.0017290115356445312,0.0005888938903808594,0.00011801719665527344
2,2,0.5,14,1,0.0012440681457519531,1,0.0015370845794677734,0.0005910396575927734,0.00011014938354492188
2,2,0.5,15,1,0.0011401176452636719,1,0.0014052391052246094,0.0004901885986328125,0.0001049041748046875
2,2,0.5,16,1,0.0010559558868408203,1,0.0013577938079833984,0.0004718303680419922,9.822845458984375e-05
2,2,0.5,17,1,0.0010402202606201172,1,0.0014579296112060547,0.0005450248718261719,0.00010013580322265625
2,2,0.5,18,1,0.0011167526245117188,1,0.0014739036560058594,0.0005388259887695312,9.894371032714844e-05
2,2,0.5,19,1,0.0011000633239746094,1,0.0014309883117675781,0.00047898292541503906,0.00012993812561035156
2,2,0.5,20,1,0.001110076904296875,1,0.0015208721160888672,0.0005068778991699219,9.918212890625e-05
2,2,0.5,21,1,0.0011000633239746094,1,0.001428365707397461,0.0004968643188476562,0.00010585784912109375
2,2,0.5,22,1,0.0010988712310791016,1,0.0014216899871826172,0.0005309581756591797,0.0001049041748046875
2,2,0.5,23,1,0.0010590553283691406,1,0.0015649795532226562,0.0007100105285644531,0.00011181831359863281
2,2,0.5,24,1,0.0011699199676513672,1,0.0015490055084228516,0.0005600452423095703,0.00010395050048828125
2,2,0.5,25,1,0.0016498565673828125,1,0.0016109943389892578,0.0005540847778320312,0.00011587142944335938
2,2,0.5,26,1,0.0010881423950195312,1,0.0017628669738769531,0.0005581378936767578,0.0001049041748046875
2,2,0.5,27,1,0.0012836456298828125,1,0.001653909683227539,0.0005788803100585938,0.00010919570922851562
2,2,0.5,28,1,0.0011680126190185547,1,0.0015668869018554688,0.0006659030914306641,0.00011587142944335938
2,2,0.5,29,1,0.0012309551239013672,1,0.001596212387084961,0.0005362033843994141,0.00011610984802246094
2,2,0.5,30,1,0.0013229846954345703,1,0.001483917236328125,0.000576019287109375,0.00010204315185546875
2,2,0.5,31,1,0.0011529922485351562,1,0.0014569759368896484,0.0005090236663818359,0.00010013580322265625
2,2,0.5,32,1,0.0010528564453125,1,0.001367807388305664,0.0004858970642089844,9.799003601074219e-05
2,2,0.5,33,1,0.0011258125305175781,1,0.0014071464538574219,0.0004968643188476562,9.918212890625e-05
2,2,0.5,34,1,0.0011241436004638672,1,0.0013990402221679688,0.0005249977111816406,0.00010704994201660156
2,2,0.5,35,1,0.0010752677917480469,1,0.0014090538024902344,0.0005099773406982422,0.0001010894775390625
2,2,0.5,36,1,0.0010728836059570312,1,0.001361846923828125,0.0005030632019042969,0.00010609626770019531
